Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Variant SKU,Variant Price,Image Src
depression-dog,Depression Dog,,CBB,Sticker,"meme",FALSE,DEPRESSION-DOG,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Depression_Dog/Depression_Dog.webp
devious-disaster-girl,Devious Disaster Girl,,CBB,Sticker,"meme",FALSE,DEVIOUS-DISASTER-GIRL,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Devious_Disaster_Girl/Devious_Disaster_Girl.webp
directionless-left-exit-12-off-ramp,Directionless Left Exit 12 Off Ramp,,CBB,Sticker,"meme",FALSE,DIRECTIONLESS-LEFT-EXIT-12-OFF-RAMP,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Directionless_Left_Exit_12_Off_Ramp/Directionless_Left_Exit_12_Off_Ramp.webp
disappointed-black-guy,Disappointed Black Guy,,CBB,Sticker,"meme",FALSE,DISAPPOINTED-BLACK-GUY,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disappointed_Black_Guy/Disappointed_Black_Guy.webp
disaster-girl,Disaster Girl,,CBB,Sticker,"meme",FALSE,DISASTER-GIRL,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disaster_Girl/Disaster_Girl.webp
disaster-girl-evil-version-meme,Disaster Girl Evil Version Meme,,CBB,Sticker,"meme",FALSE,DISASTER-GIRL-EVIL-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disaster_Girl_Evil_Version_Meme/Disaster_Girl_Evil_Version_Meme.webp
disaster-girl-meme,Disaster Girl Meme,,CBB,Sticker,"meme",FALSE,DISASTER-GIRL-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disaster_Girl_Meme/Disaster_Girl_Meme.webp
disaster-girl-mischievous-version-meme,Disaster Girl Mischievous Version Meme,,CBB,Sticker,"meme",FALSE,DISASTER-GIRL-MISCHIEVOUS-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disaster_Girl_Mischievous_Version_Meme/Disaster_Girl_Mischievous_Version_Meme.webp
disaster-girl-older-,Disaster Girl Older ,,CBB,Sticker,"meme",FALSE,DISASTER-GIRL-OLDER-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disaster_Girl_Older_/Disaster_Girl_Older_.webp
disaster-girl-variation-,Disaster Girl Variation ,,CBB,Sticker,"meme",FALSE,DISASTER-GIRL-VARIATION-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disaster_Girl_Variation_/Disaster_Girl_Variation_.webp
disaster-girl-variation-2-,Disaster Girl Variation 2 ,,CBB,Sticker,"meme",FALSE,DISASTER-GIRL-VARIATION-2-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disaster_Girl_Variation_2_/Disaster_Girl_Variation_2_.webp
disaster-girl-variation-3-,Disaster Girl Variation 3 ,,CBB,Sticker,"meme",FALSE,DISASTER-GIRL-VARIATION-3-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disaster_Girl_Variation_3_/Disaster_Girl_Variation_3_.webp
disaster-girl-wicked-version-meme,Disaster Girl Wicked Version Meme,,CBB,Sticker,"meme",FALSE,DISASTER-GIRL-WICKED-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disaster_Girl_Wicked_Version_Meme/Disaster_Girl_Wicked_Version_Meme.webp
disaster-girl-new-format-,Disaster Girl new format ,,CBB,Sticker,"meme",FALSE,DISASTER-GIRL-NEW-FORMAT-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disaster_Girl_new_format_/Disaster_Girl_new_format_.webp
disaster-girl-variations-,Disaster Girl variations ,,CBB,Sticker,"meme",FALSE,DISASTER-GIRL-VARIATIONS-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disaster_Girl_variations_/Disaster_Girl_variations_.webp
disaster-girl-with-captions-,Disaster Girl with captions ,,CBB,Sticker,"meme",FALSE,DISASTER-GIRL-WITH-CAPTIONS-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Disaster_Girl_with_captions_/Disaster_Girl_with_captions_.webp
distracted-boyfriend,Distracted Boyfriend,,CBB,Sticker,"meme",FALSE,DISTRACTED-BOYFRIEND,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Distracted_Boyfriend/Distracted_Boyfriend.webp
distracted-boyfriend-meme,Distracted Boyfriend Meme,,CBB,Sticker,"meme",FALSE,DISTRACTED-BOYFRIEND-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Distracted_Boyfriend_Meme/Distracted_Boyfriend_Meme.webp
distracted-boyfriend-variation-,Distracted Boyfriend Variation ,,CBB,Sticker,"meme",FALSE,DISTRACTED-BOYFRIEND-VARIATION-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Distracted_Boyfriend_Variation_/Distracted_Boyfriend_Variation_.webp
distracted-boyfriend-variation-2-,Distracted Boyfriend Variation 2 ,,CBB,Sticker,"meme",FALSE,DISTRACTED-BOYFRIEND-VARIATION-2-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Distracted_Boyfriend_Variation_2_/Distracted_Boyfriend_Variation_2_.webp
distracted-boyfriend-variation-3-,Distracted Boyfriend Variation 3 ,,CBB,Sticker,"meme",FALSE,DISTRACTED-BOYFRIEND-VARIATION-3-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Distracted_Boyfriend_Variation_3_/Distracted_Boyfriend_Variation_3_.webp
distracted-boyfriend-with-captions-,Distracted Boyfriend with captions ,,CBB,Sticker,"meme",FALSE,DISTRACTED-BOYFRIEND-WITH-CAPTIONS-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Distracted_Boyfriend_with_captions_/Distracted_Boyfriend_with_captions_.webp
do-you-want-ants-,Do You Want Ants ,,CBB,Sticker,"meme",FALSE,DO-YOU-WANT-ANTS-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Do_You_Want_Ants_/Do_You_Want_Ants_.webp
doge,Doge,,CBB,Sticker,"meme",FALSE,DOGE,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Doge/Doge.webp
doge-alternate-version-meme,Doge Alternate Version Meme,,CBB,Sticker,"meme",FALSE,DOGE-ALTERNATE-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Doge_Alternate_Version_Meme/Doge_Alternate_Version_Meme.webp
doge-excited-version-meme,Doge Excited Version Meme,,CBB,Sticker,"meme",FALSE,DOGE-EXCITED-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Doge_Excited_Version_Meme/Doge_Excited_Version_Meme.webp
doge-inner-monologue-,Doge Inner Monologue ,,CBB,Sticker,"meme",FALSE,DOGE-INNER-MONOLOGUE-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Doge_Inner_Monologue_/Doge_Inner_Monologue_.webp
doge-joyful-version-meme,Doge Joyful Version Meme,,CBB,Sticker,"meme",FALSE,DOGE-JOYFUL-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Doge_Joyful_Version_Meme/Doge_Joyful_Version_Meme.webp
doge-meme,Doge Meme,,CBB,Sticker,"meme",FALSE,DOGE-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Doge_Meme/Doge_Meme.webp
doge-variation-,Doge Variation ,,CBB,Sticker,"meme",FALSE,DOGE-VARIATION-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Doge_Variation_/Doge_Variation_.webp
doge-variation-2-,Doge Variation 2 ,,CBB,Sticker,"meme",FALSE,DOGE-VARIATION-2-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Doge_Variation_2_/Doge_Variation_2_.webp
doge-variation-3-,Doge Variation 3 ,,CBB,Sticker,"meme",FALSE,DOGE-VARIATION-3-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Doge_Variation_3_/Doge_Variation_3_.webp
doge-with-captions-,Doge with captions ,,CBB,Sticker,"meme",FALSE,DOGE-WITH-CAPTIONS-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Doge_with_captions_/Doge_with_captions_.webp
donald-trump,Donald Trump,,CBB,Sticker,"meme",FALSE,DONALD-TRUMP,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Donald_Trump/Donald_Trump.webp
drake-hotline-bling,Drake Hotline Bling,,CBB,Sticker,"meme",FALSE,DRAKE-HOTLINE-BLING,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drake_Hotline_Bling/Drake_Hotline_Bling.webp
drakeposting,Drakeposting,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting/Drakeposting.webp
drakeposting-hotline-bling-,Drakeposting Hotline Bling ,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-HOTLINE-BLING-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Hotline_Bling_/Drakeposting_Hotline_Bling_.webp
drakeposting-hotline-bling-disgusted-version-mem,Drakeposting Hotline Bling Disgusted Version Mem,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-HOTLINE-BLING-DISGUSTED-VERSION-MEM,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Hotline_Bling_Disgusted_Version_Mem/Drakeposting_Hotline_Bling_Disgusted_Version_Mem.webp
drakeposting-hotline-bling-meme,Drakeposting Hotline Bling Meme,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-HOTLINE-BLING-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Hotline_Bling_Meme/Drakeposting_Hotline_Bling_Meme.webp
drakeposting-hotline-bling-rejecting-version-mem,Drakeposting Hotline Bling Rejecting Version Mem,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-HOTLINE-BLING-REJECTING-VERSION-MEM,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Hotline_Bling_Rejecting_Version_Mem/Drakeposting_Hotline_Bling_Rejecting_Version_Mem.webp
drakeposting-hotline-bling-unimpressed-version-m,Drakeposting Hotline Bling Unimpressed Version M,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-HOTLINE-BLING-UNIMPRESSED-VERSION-M,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Hotline_Bling_Unimpressed_Version_M/Drakeposting_Hotline_Bling_Unimpressed_Version_M.webp
drakeposting-meme,Drakeposting Meme,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Meme/Drakeposting_Meme.webp
drakeposting-variation-,Drakeposting Variation ,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-VARIATION-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Variation_/Drakeposting_Variation_.webp
drakeposting-variation-2-,Drakeposting Variation 2 ,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-VARIATION-2-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Variation_2_/Drakeposting_Variation_2_.webp
drakeposting-variation-3-,Drakeposting Variation 3 ,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-VARIATION-3-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Variation_3_/Drakeposting_Variation_3_.webp
drakeposting-variation-4-,Drakeposting Variation 4 ,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-VARIATION-4-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Variation_4_/Drakeposting_Variation_4_.webp
drakeposting-views-approving-version-meme,Drakeposting Views Approving Version Meme,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-VIEWS-APPROVING-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Views_Approving_Version_Meme/Drakeposting_Views_Approving_Version_Meme.webp
drakeposting-views-content-version-meme,Drakeposting Views Content Version Meme,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-VIEWS-CONTENT-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Views_Content_Version_Meme/Drakeposting_Views_Content_Version_Meme.webp
drakeposting-views-meme,Drakeposting Views Meme,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-VIEWS-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Views_Meme/Drakeposting_Views_Meme.webp
drakeposting-views-satisfied-version-meme,Drakeposting Views Satisfied Version Meme,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-VIEWS-SATISFIED-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_Views_Satisfied_Version_Meme/Drakeposting_Views_Satisfied_Version_Meme.webp
drakeposting-new-format-,Drakeposting new format ,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-NEW-FORMAT-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_new_format_/Drakeposting_new_format_.webp
drakeposting-original-format-,Drakeposting original format ,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-ORIGINAL-FORMAT-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_original_format_/Drakeposting_original_format_.webp
drakeposting-with-captions-,Drakeposting with captions ,,CBB,Sticker,"meme",FALSE,DRAKEPOSTING-WITH-CAPTIONS-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drakeposting_with_captions_/Drakeposting_with_captions_.webp
drunk-baby,Drunk Baby,,CBB,Sticker,"meme",FALSE,DRUNK-BABY,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Drunk_Baby/Drunk_Baby.webp
dwight-k-schrute,Dwight K. Schrute,,CBB,Sticker,"meme",FALSE,DWIGHT-K-SCHRUTE,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Dwight_K._Schrute/Dwight_K._Schrute.webp
dwight-schrute,Dwight Schrute,,CBB,Sticker,"meme",FALSE,DWIGHT-SCHRUTE,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Dwight_Schrute/Dwight_Schrute.webp
economics-memes,Economics Memes,,CBB,Sticker,"meme",FALSE,ECONOMICS-MEMES,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Economics_Memes/Economics_Memes.webp
edgy-memes,Edgy Memes,,CBB,Sticker,"meme",FALSE,EDGY-MEMES,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Edgy_Memes/Edgy_Memes.webp
ermahgerd,Ermahgerd,,CBB,Sticker,"meme",FALSE,ERMAHGERD,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Ermahgerd/Ermahgerd.webp
evil-kermit,Evil Kermit,,CBB,Sticker,"meme",FALSE,EVIL-KERMIT,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Evil_Kermit/Evil_Kermit.webp
evil-kermit-dark-side-version-meme,Evil Kermit Dark Side Version Meme,,CBB,Sticker,"meme",FALSE,EVIL-KERMIT-DARK-SIDE-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Evil_Kermit_Dark_Side_Version_Meme/Evil_Kermit_Dark_Side_Version_Meme.webp
evil-kermit-inner-demon-version-meme,Evil Kermit Inner Demon Version Meme,,CBB,Sticker,"meme",FALSE,EVIL-KERMIT-INNER-DEMON-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Evil_Kermit_Inner_Demon_Version_Meme/Evil_Kermit_Inner_Demon_Version_Meme.webp
evil-kermit-meme,Evil Kermit Meme,,CBB,Sticker,"meme",FALSE,EVIL-KERMIT-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Evil_Kermit_Meme/Evil_Kermit_Meme.webp
evil-kermit-temptation-version-meme,Evil Kermit Temptation Version Meme,,CBB,Sticker,"meme",FALSE,EVIL-KERMIT-TEMPTATION-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Evil_Kermit_Temptation_Version_Meme/Evil_Kermit_Temptation_Version_Meme.webp
evil-kermit-variation-,Evil Kermit Variation ,,CBB,Sticker,"meme",FALSE,EVIL-KERMIT-VARIATION-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Evil_Kermit_Variation_/Evil_Kermit_Variation_.webp
evil-kermit-variation-2-,Evil Kermit Variation 2 ,,CBB,Sticker,"meme",FALSE,EVIL-KERMIT-VARIATION-2-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Evil_Kermit_Variation_2_/Evil_Kermit_Variation_2_.webp
evil-kermit-variation-3-,Evil Kermit Variation 3 ,,CBB,Sticker,"meme",FALSE,EVIL-KERMIT-VARIATION-3-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Evil_Kermit_Variation_3_/Evil_Kermit_Variation_3_.webp
evil-patrick,Evil Patrick,,CBB,Sticker,"meme",FALSE,EVIL-PATRICK,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Evil_Patrick/Evil_Patrick.webp
evil-patrick-star,Evil Patrick Star,,CBB,Sticker,"meme",FALSE,EVIL-PATRICK-STAR,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Evil_Patrick_Star/Evil_Patrick_Star.webp
evil-plotting-raccoon,Evil Plotting Raccoon,,CBB,Sticker,"meme",FALSE,EVIL-PLOTTING-RACCOON,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Evil_Plotting_Raccoon/Evil_Plotting_Raccoon.webp
evil-toddler,Evil Toddler,,CBB,Sticker,"meme",FALSE,EVIL-TODDLER,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Evil_Toddler/Evil_Toddler.webp
example-using-tenor-api-python-,Example using Tenor API Python ,,CBB,Sticker,"meme",FALSE,EXAMPLE-USING-TENOR-API-PYTHON-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Example_using_Tenor_API_Python_/Example_using_Tenor_API_Python_.webp
expanding-brain,Expanding Brain,,CBB,Sticker,"meme",FALSE,EXPANDING-BRAIN,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Expanding_Brain/Expanding_Brain.webp
expanding-brain-cosmic-brain-version-meme,Expanding Brain Cosmic Brain Version Meme,,CBB,Sticker,"meme",FALSE,EXPANDING-BRAIN-COSMIC-BRAIN-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Expanding_Brain_Cosmic_Brain_Version_Meme/Expanding_Brain_Cosmic_Brain_Version_Meme.webp
expanding-brain-galaxy-brain-version-meme,Expanding Brain Galaxy Brain Version Meme,,CBB,Sticker,"meme",FALSE,EXPANDING-BRAIN-GALAXY-BRAIN-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Expanding_Brain_Galaxy_Brain_Version_Meme/Expanding_Brain_Galaxy_Brain_Version_Meme.webp
expanding-brain-meme,Expanding Brain Meme,,CBB,Sticker,"meme",FALSE,EXPANDING-BRAIN-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Expanding_Brain_Meme/Expanding_Brain_Meme.webp
expanding-brain-universal-brain-version-meme,Expanding Brain Universal Brain Version Meme,,CBB,Sticker,"meme",FALSE,EXPANDING-BRAIN-UNIVERSAL-BRAIN-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Expanding_Brain_Universal_Brain_Version_Meme/Expanding_Brain_Universal_Brain_Version_Meme.webp
expanding-brain-variation-,Expanding Brain Variation ,,CBB,Sticker,"meme",FALSE,EXPANDING-BRAIN-VARIATION-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Expanding_Brain_Variation_/Expanding_Brain_Variation_.webp
expanding-brain-variation-2-,Expanding Brain Variation 2 ,,CBB,Sticker,"meme",FALSE,EXPANDING-BRAIN-VARIATION-2-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Expanding_Brain_Variation_2_/Expanding_Brain_Variation_2_.webp
expanding-brain-variation-3-,Expanding Brain Variation 3 ,,CBB,Sticker,"meme",FALSE,EXPANDING-BRAIN-VARIATION-3-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Expanding_Brain_Variation_3_/Expanding_Brain_Variation_3_.webp
expanding-brain-new-format-,Expanding Brain new format ,,CBB,Sticker,"meme",FALSE,EXPANDING-BRAIN-NEW-FORMAT-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Expanding_Brain_new_format_/Expanding_Brain_new_format_.webp
expanding-brain-variations-,Expanding Brain variations ,,CBB,Sticker,"meme",FALSE,EXPANDING-BRAIN-VARIATIONS-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Expanding_Brain_variations_/Expanding_Brain_variations_.webp
expanding-brain-with-captions-,Expanding Brain with captions ,,CBB,Sticker,"meme",FALSE,EXPANDING-BRAIN-WITH-CAPTIONS-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Expanding_Brain_with_captions_/Expanding_Brain_with_captions_.webp
facepalm,Facepalm,,CBB,Sticker,"meme",FALSE,FACEPALM,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Facepalm/Facepalm.webp
fashion-memes,Fashion Memes,,CBB,Sticker,"meme",FALSE,FASHION-MEMES,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Fashion_Memes/Fashion_Memes.webp
favorite-memes,Favorite Memes,,CBB,Sticker,"meme",FALSE,FAVORITE-MEMES,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Favorite_Memes/Favorite_Memes.webp
feels-bad-man,Feels Bad Man,,CBB,Sticker,"meme",FALSE,FEELS-BAD-MAN,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Feels_Bad_Man/Feels_Bad_Man.webp
finding-neverland,Finding Neverland,,CBB,Sticker,"meme",FALSE,FINDING-NEVERLAND,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Finding_Neverland/Finding_Neverland.webp
first-world-problems,First World Problems,,CBB,Sticker,"meme",FALSE,FIRST-WORLD-PROBLEMS,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/First_World_Problems/First_World_Problems.webp
first-world-problems-cat,First World Problems Cat,,CBB,Sticker,"meme",FALSE,FIRST-WORLD-PROBLEMS-CAT,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/First_World_Problems_Cat/First_World_Problems_Cat.webp
first-world-problems-inconvenience-version-meme,First World Problems Inconvenience Version Meme,,CBB,Sticker,"meme",FALSE,FIRST-WORLD-PROBLEMS-INCONVENIENCE-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/First_World_Problems_Inconvenience_Version_Meme/First_World_Problems_Inconvenience_Version_Meme.webp
first-world-problems-meme,First World Problems Meme,,CBB,Sticker,"meme",FALSE,FIRST-WORLD-PROBLEMS-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/First_World_Problems_Meme/First_World_Problems_Meme.webp
first-world-problems-variation-,First World Problems Variation ,,CBB,Sticker,"meme",FALSE,FIRST-WORLD-PROBLEMS-VARIATION-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/First_World_Problems_Variation_/First_World_Problems_Variation_.webp
first-world-problems-variation-2-,First World Problems Variation 2 ,,CBB,Sticker,"meme",FALSE,FIRST-WORLD-PROBLEMS-VARIATION-2-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/First_World_Problems_Variation_2_/First_World_Problems_Variation_2_.webp
first-world-problems-variation-3-,First World Problems Variation 3 ,,CBB,Sticker,"meme",FALSE,FIRST-WORLD-PROBLEMS-VARIATION-3-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/First_World_Problems_Variation_3_/First_World_Problems_Variation_3_.webp
first-world-problems-new-format-,First World Problems new format ,,CBB,Sticker,"meme",FALSE,FIRST-WORLD-PROBLEMS-NEW-FORMAT-,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/First_World_Problems_new_format_/First_World_Problems_new_format_.webp
food-memes,Food Memes,,CBB,Sticker,"meme",FALSE,FOOD-MEMES,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Food_Memes/Food_Memes.webp
forever-alone,Forever Alone,,CBB,Sticker,"meme",FALSE,FOREVER-ALONE,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Forever_Alone/Forever_Alone.webp
forever-alone-christmas,Forever Alone Christmas,,CBB,Sticker,"meme",FALSE,FOREVER-ALONE-CHRISTMAS,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Forever_Alone_Christmas/Forever_Alone_Christmas.webp
forever-alone-isolated-version-meme,Forever Alone Isolated Version Meme,,CBB,Sticker,"meme",FALSE,FOREVER-ALONE-ISOLATED-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Forever_Alone_Isolated_Version_Meme/Forever_Alone_Isolated_Version_Meme.webp
forever-alone-lonely-version-meme,Forever Alone Lonely Version Meme,,CBB,Sticker,"meme",FALSE,FOREVER-ALONE-LONELY-VERSION-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Forever_Alone_Lonely_Version_Meme/Forever_Alone_Lonely_Version_Meme.webp
forever-alone-meme,Forever Alone Meme,,CBB,Sticker,"meme",FALSE,FOREVER-ALONE-MEME,1.99,https://raw.githubusercontent.com/PreFrontalCorporate/icon/main/packages/stickers/Forever_Alone_Meme/Forever_Alone_Meme.webp
